,word,count,frequency,probability_of_staying,cumulative_distribution
0,planets,7,0.03333333333333333,0.20320508075688776,3
1,and,6,0.02857142857142857,0.2220828693386971,6
2,are,6,0.02857142857142857,0.2220828693386971,9
3,being,4,0.01904761904761905,0.28162878474779196,11
4,sun,4,0.01904761904761905,0.28162878474779196,13
5,that,4,0.01904761904761905,0.28162878474779196,15
6,composed,3,0.014285714285714285,0.3345751311064591,17
7,objects,3,0.014285714285714285,0.3345751311064591,19
8,orbit,3,0.014285714285714285,0.3345751311064591,20
9,two,3,0.014285714285714285,0.3345751311064591,22
10,a,2,0.009523809523809525,0.429037034920393,23
11,directly,2,0.009523809523809525,0.429037034920393,24
12,eight,2,0.009523809523809525,0.429037034920393,26
13,four,2,0.009523809523809525,0.429037034920393,27
14,giant,2,0.009523809523809525,0.429037034920393,28
15,giants,2,0.009523809523809525,0.429037034920393,29
16,in,2,0.009523809523809525,0.429037034920393,31
17,indirectly,2,0.009523809523809525,0.429037034920393,32
18,is,2,0.009523809523809525,0.429037034920393,33
19,jupiter,2,0.009523809523809525,0.429037034920393,34
20,largest,2,0.009523809523809525,0.429037034920393,36
21,majority,2,0.009523809523809525,0.429037034920393,37
22,mass,2,0.009523809523809525,0.429037034920393,38
23,mercury,2,0.009523809523809525,0.429037034920393,39
24,solarsystem,2,0.009523809523809525,0.429037034920393,41
25,system,2,0.009523809523809525,0.429037034920393,42
26,than,2,0.009523809523809525,0.429037034920393,43
27,with,2,0.009523809523809525,0.429037034920393,44
28,4.6billion,1,0.004761904761904762,0.6682575694955839,45
29,ago,1,0.004761904761904762,0.6682575694955839,46
30,all,1,0.004761904761904762,0.6682575694955839,47
31,almost,1,0.004761904761904762,0.6682575694955839,47
32,bound,1,0.004761904761904762,0.6682575694955839,48
33,called,1,0.004761904761904762,0.6682575694955839,49
34,circular,1,0.004761904761904762,0.6682575694955839,50
35,cloud,1,0.004761904761904762,0.6682575694955839,50
36,collapse,1,0.004761904761904762,0.6682575694955839,51
37,contained,1,0.004761904761904762,0.6682575694955839,52
38,disc,1,0.004761904761904762,0.6682575694955839,53
39,earth,1,0.004761904761904762,0.6682575694955839,53
40,ecliptic,1,0.004761904761904762,0.6682575694955839,54
41,either,1,0.004761904761904762,0.6682575694955839,55
42,flat,1,0.004761904761904762,0.6682575694955839,56
43,formed,1,0.004761904761904762,0.6682575694955839,56
44,from,1,0.004761904761904762,0.6682575694955839,57
45,gas,1,0.004761904761904762,0.6682575694955839,58
46,gravitational,1,0.004761904761904762,0.6682575694955839,59
47,gravitationally,1,0.004761904761904762,0.6682575694955839,59
48,have,1,0.004761904761904762,0.6682575694955839,60
49,helium,1,0.004761904761904762,0.6682575694955839,61
50,high,1,0.004761904761904762,0.6682575694955839,62
51,hydrogen,1,0.004761904761904762,0.6682575694955839,62
52,ice,1,0.004761904761904762,0.6682575694955839,63
53,inner,1,0.004761904761904762,0.6682575694955839,64
54,interstellar,1,0.004761904761904762,0.6682575694955839,65
55,it,1,0.004761904761904762,0.6682575694955839,65
56,larger,1,0.004761904761904762,0.6682575694955839,66
57,lie,1,0.004761904761904762,0.6682575694955839,67
58,like,1,0.004761904761904762,0.6682575694955839,67
59,mainly,1,0.004761904761904762,0.6682575694955839,68
60,mars,1,0.004761904761904762,0.6682575694955839,69
61,massive,1,0.004761904761904762,0.6682575694955839,70
62,melting,1,0.004761904761904762,0.6682575694955839,70
63,metal,1,0.004761904761904762,0.6682575694955839,71
64,molecular,1,0.004761904761904762,0.6682575694955839,72
65,moons,1,0.004761904761904762,0.6682575694955839,73
66,more,1,0.004761904761904762,0.6682575694955839,73
67,mostly,1,0.004761904761904762,0.6682575694955839,74
68,nearly,1,0.004761904761904762,0.6682575694955839,75
69,neptune,1,0.004761904761904762,0.6682575694955839,76
70,or,1,0.004761904761904762,0.6682575694955839,76
71,orbits,1,0.004761904761904762,0.6682575694955839,77
72,outer,1,0.004761904761904762,0.6682575694955839,78
73,outermost,1,0.004761904761904762,0.6682575694955839,79
74,planet,1,0.004761904761904762,0.6682575694955839,79
75,points,1,0.004761904761904762,0.6682575694955839,80
76,primarily,1,0.004761904761904762,0.6682575694955839,81
77,relatively,1,0.004761904761904762,0.6682575694955839,82
78,remaining,1,0.004761904761904762,0.6682575694955839,82
79,rock,1,0.004761904761904762,0.6682575694955839,83
80,saturn,1,0.004761904761904762,0.6682575694955839,84
81,smaller,1,0.004761904761904762,0.6682575694955839,85
82,smallest,1,0.004761904761904762,0.6682575694955839,85
83,substances,1,0.004761904761904762,0.6682575694955839,86
84,substantially,1,0.004761904761904762,0.6682575694955839,87
85,terrestrial,1,0.004761904761904762,0.6682575694955839,88
86,terrestrials,1,0.004761904761904762,0.6682575694955839,88
87,uranus,1,0.004761904761904762,0.6682575694955839,89
88,vast,1,0.004761904761904762,0.6682575694955839,90
89,venus,1,0.004761904761904762,0.6682575694955839,91
90,within,1,0.004761904761904762,0.6682575694955839,91
91,years,1,0.004761904761904762,0.6682575694955839,92
