,word,count,frequency,probability_of_staying,cumulative_distribution,one_hot_vector,word_vector
0,being,4,0.01904761904761905,0.28162878474779196,2,"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.07200955885723608, -0.02025005919772066, -0.014455973576802948, -0.03311974570439884, -0.0855917294423351, -0.0369021557822804, -0.007493460164501534, -0.00464433130813413, 0.07289445833077537, -0.04781887869243965, 0.05353885125327292, 0.0727572157972272, 0.05022589947096752, 0.005885305686107339, -0.009612425450446993, -0.0377045388683472, 0.001730815874607887, -0.0254782812045875, -0.02180770650696486, 0.08933697872929157, 0.042802808990891006, 0.05254944147257866, -0.042842611711133585, 0.09854676792695098]"
1,sun,4,0.01904761904761905,0.28162878474779196,5,"[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.07252789409092895, -0.028708774191707247, 0.0060863013372892015, -0.059759062052644855, -0.03505061284121727, -0.013259220930389625, 0.07871373068912477, 0.06413099248419582, 0.05901732511653243, 0.05840785158360101, 0.06364617928978364, 0.01707945232049869, 0.036871253472024794, -0.04623535221180671, -0.041322683575986584, -0.038765235352837366, -0.07349083366642192, -0.07233525761156154, 0.00787069787153373, 0.036359599220069226, -0.010421274254601614, 0.032988569426238984, 0.007022410071711785, 0.03992943633729215]"
2,that,4,0.01904761904761905,0.28162878474779196,7,"[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.029262011481656625, -0.07022192470723854, 0.03922402135418199, -0.0406594962603706, 0.019074385913992756, 0.07251594058995392, 0.050955057121678964, -0.05683057965942, 0.04768523505327789, 0.06873579302300262, 0.016703691996781022, 0.02475601346109027, 0.05065122226861605, 0.06225637567683453, -0.04151575527344328, -0.01718898385221155, -0.018394596574540404, 0.06715562878238207, 0.04290753967942085, 0.021595359239744823, -0.08170121063871257, 0.02527868157678145, -0.008797307997605594, 0.025933187817061568]"
3,composed,3,0.014285714285714285,0.3345751311064591,9,"[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.0584599499379166, 0.0457271572204767, -0.0627733507463186, 0.06578212671824017, -0.009029605611003435, 0.026039450810942093, 0.011546617365850161, -0.009623733522068339, -0.046094022102452975, 0.031452446041439784, -0.08213139267207611, -0.012532086656551665, 0.06063863195211495, -0.033762256012047194, 0.07981735789263576, 0.04827742795552336, 0.018464555489298273, -0.044398975323622865, 0.04901526015542564, -3.482892743321615e-05, 0.05334947144031279, 0.02702797578648545, -0.045970327810978456, 0.07805099184878533]"
4,objects,3,0.014285714285714285,0.3345751311064591,10,"[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.0077878574302750045, 0.049247017333847044, -0.05377266217822204, -0.076845153339108, -0.022507587081133637, 0.060856905338571236, -0.002250099928889479, -0.06733765557239114, 0.0006606027972195265, 0.03403110113087914, -0.07282895322682637, -0.04273584901416258, 0.04770656526919936, 0.012116252912914443, -0.043151655660185695, 0.06874243990360733, -0.0006665996032749445, 0.07677301263289124, 0.002876978671294012, 0.07689808019833197, -0.03007276806990738, -0.060540142594012275, -0.02929000623336191, -0.060304053879494224]"
5,orbit,3,0.014285714285714285,0.3345751311064591,12,"[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.036331635963466155, -0.05653379547656507, -0.048098669616531003, 0.03501969317046417, -0.026671850241901884, 0.01399361443298898, 0.029258687507050105, -0.07009331126379788, 0.052625515339333295, 0.04675380091275209, -0.02985236928142938, -0.012260448643881027, 0.012824279930217897, 0.05277627493832259, 0.046426581158654924, 0.07311302787454751, -0.029806613048110688, 0.07091182385003805, 0.0328747474955616, -0.053763896005606965, 0.053872926953062755, 0.0580410141049435, -0.017520902788679543, -0.0405745200020931]"
6,system,3,0.014285714285714285,0.3345751311064591,14,"[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.05231881260060433, 0.0032573642441852523, 0.038231060178601124, -0.08501378760293221, 0.06320431989584505, 0.07387160181050191, -0.059927872015707824, -0.029176845652215497, 0.0024021643757142783, 0.026447124168027074, -0.06364492284119891, 0.009648216632169478, 0.052704876644169334, -0.06600974369824801, -0.0786814580277692, -0.021408211453107274, 0.07428552304763339, -0.004599811673390785, 0.059129589110101854, 0.05418374201196483, 0.0017381365144197034, -0.05175681748729008, -0.011720394459929173, -0.016637603854273517]"
7,two,3,0.014285714285714285,0.3345751311064591,16,"[0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.0019713398331356047, -0.06701645426342645, 0.03165518982767314, -0.05032245702061565, -0.02517909495215959, -0.07171015658260882, -0.06738427390859524, 0.040925660153465236, -0.022515120382673174, 0.012113148676287686, -0.02517133437501711, 0.06464718400389964, 0.06189579022167713, 0.0622236800484789, 0.036151350343755696, -0.0191790374573467, 0.02674127078753437, -0.02079992671036286, -0.08036631433580477, -0.028019136951173664, 0.013195611105033731, 0.07069105083136001, 0.03713568953439586, -0.06298972769351897]"
8,a,2,0.009523809523809525,0.429037034920393,17,"[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.05443323257994477, -0.005114660962763856, 0.0725202360374488, 0.05279602086289667, -0.060747966770813976, -0.009776411465663397, 0.037511799391193625, -0.06918878433220375, -0.06778544795198875, -0.048591740392286045, 0.058065608057808964, -0.0004650143249500286, -0.04055210137846155, -0.011939223137465321, 0.06600130046558433, 0.015702388034356706, -0.04390286787889394, 0.03656496574076242, 0.062216754825255696, 0.015236977461429428, 0.025856334975424722, -0.04021382482037991, -0.04631534092181567, 0.05850099723020772]"
9,directly,2,0.009523809523809525,0.429037034920393,19,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.0008601359891259695, -0.015512573422723388, 0.04231084162768114, -0.0659500191843654, -0.06370562532753629, 0.005072423881897625, 0.011951492931820662, 0.0072216591679255876, 0.09024590691127284, -0.013744447975375818, -0.005013220798605453, 0.07191017264437649, 0.06578489606785738, 0.04295186544431408, 0.055529815047318784, 0.020608555067127377, 0.08629870577315472, 0.014983142292887818, 0.03642356253233821, -0.07639870651704636, -0.04094410172820389, 0.08906422877460274, 0.07353672900366755, 0.003977171888774556]"
